"Host","Cluster","Name","Mac","BitRatePerSec","FullDuplex","DeviceName","Driver","LinkSpeedMb","Pci"
"10.80.18.118","Cluster_PF_SAGE","vmnic6","84:16:0c:6d:2b:b0","10000","True","vmnic6",,"10000",
"10.80.18.118","Cluster_PF_SAGE","vmnic7","84:16:0c:6d:2b:b1","10000","True","vmnic7",,"10000",
"10.80.18.118","Cluster_PF_SAGE","vmnic8","84:16:0c:6d:50:d0","10000","True","vmnic8",,"10000",
"10.80.18.118","Cluster_PF_SAGE","vmnic9","84:16:0c:6d:50:d1","10000","True","vmnic9",,"10000",
"10.80.18.117","Cluster_PF_SAGE","vmnic0","78:ac:44:8f:ea:9c","0","False","vmnic0",,,
"10.80.18.117","Cluster_PF_SAGE","vmnic1","78:ac:44:8f:ea:9d","0","False","vmnic1",,,
"10.80.18.117","Cluster_PF_SAGE","vmnic10","84:16:0c:6c:92:90","10000","True","vmnic10",,"10000",
"10.80.18.117","Cluster_PF_SAGE","vmnic11","84:16:0c:6c:92:91","10000","True","vmnic11",,"10000",
"10.80.18.117","Cluster_PF_SAGE","vmnic2","78:ac:44:8f:ea:9e","1000","True","vmnic2",,"1000",
"10.80.18.117","Cluster_PF_SAGE","vmnic3","78:ac:44:8f:ea:9f","1000","True","vmnic3",,"1000",
"10.80.18.117","Cluster_PF_SAGE","vmnic4","84:16:0c:6c:93:80","10000","True","vmnic4",,"10000",
"10.80.18.117","Cluster_PF_SAGE","vmnic5","84:16:0c:6c:93:81","10000","True","vmnic5",,"10000",
"10.80.18.117","Cluster_PF_SAGE","vmnic6","84:16:0c:6d:0e:c0","10000","True","vmnic6",,"10000",
"10.80.18.117","Cluster_PF_SAGE","vmnic7","84:16:0c:6d:0e:c1","10000","True","vmnic7",,"10000",
"10.80.18.117","Cluster_PF_SAGE","vmnic8","84:16:0c:6c:f6:10","10000","True","vmnic8",,"10000",
"10.80.18.117","Cluster_PF_SAGE","vmnic9","84:16:0c:6c:f6:11","10000","True","vmnic9",,"10000",
"10.80.18.10","Cluster_BSS","vmnic0","28:80:23:b3:ff:bc","1000","True","vmnic0",,"1000",
"10.80.18.10","Cluster_BSS","vmnic1","28:80:23:b3:ff:bd","1000","True","vmnic1",,"1000",
"10.80.18.10","Cluster_BSS","vmnic10","14:02:ec:69:f6:bc","10000","True","vmnic10",,"10000",
"10.80.18.10","Cluster_BSS","vmnic11","14:02:ec:69:f6:bd","0","False","vmnic11",,,
"10.80.18.10","Cluster_BSS","vmnic2","28:80:23:b3:ff:be","0","False","vmnic2",,,
"10.80.18.10","Cluster_BSS","vmnic3","28:80:23:b3:ff:bf","0","False","vmnic3",,,
"10.80.18.10","Cluster_BSS","vmnic4","14:02:ec:69:f7:50","10000","True","vmnic4",,"10000",
"10.80.18.10","Cluster_BSS","vmnic5","14:02:ec:69:f7:51","10000","True","vmnic5",,"10000",
"10.80.18.10","Cluster_BSS","vmnic6","14:02:ec:69:f7:98","10000","True","vmnic6",,"10000",
"10.80.18.10","Cluster_BSS","vmnic7","14:02:ec:69:f7:99","10000","True","vmnic7",,"10000",
"10.80.18.10","Cluster_BSS","vmnic8","14:02:ec:69:f9:64","10000","True","vmnic8",,"10000",
"10.80.18.10","Cluster_BSS","vmnic9","14:02:ec:69:f9:65","0","False","vmnic9",,,
"10.80.18.5","Cluster_BSS","vmnic0","28:80:23:b4:00:28","1000","True","vmnic0",,"1000",
"10.80.18.5","Cluster_BSS","vmnic1","28:80:23:b4:00:29","1000","True","vmnic1",,"1000",
"10.80.18.5","Cluster_BSS","vmnic10","14:02:ec:69:f9:9c","10000","True","vmnic10",,"10000",
"10.80.18.5","Cluster_BSS","vmnic11","14:02:ec:69:f9:9d","0","False","vmnic11",,,
"10.80.18.5","Cluster_BSS","vmnic2","28:80:23:b4:00:2a","0","False","vmnic2",,,
"10.80.18.5","Cluster_BSS","vmnic3","28:80:23:b4:00:2b","0","False","vmnic3",,,
"10.80.18.5","Cluster_BSS","vmnic4","14:02:ec:69:f6:b8","10000","True","vmnic4",,"10000",
"10.80.18.5","Cluster_BSS","vmnic5","14:02:ec:69:f6:b9","10000","True","vmnic5",,"10000",
"10.80.18.5","Cluster_BSS","vmnic6","14:02:ec:69:f7:38","10000","True","vmnic6",,"10000",
"10.80.18.5","Cluster_BSS","vmnic7","14:02:ec:69:f7:39","10000","True","vmnic7",,"10000",
"10.80.18.5","Cluster_BSS","vmnic8","14:02:ec:69:f6:e0","10000","True","vmnic8",,"10000",
"10.80.18.5","Cluster_BSS","vmnic9","14:02:ec:69:f6:e1","0","False","vmnic9",,,
"10.80.18.18","Cluster_ESS","vmnic0","3c:a8:2a:ed:c8:4c","1000","True","vmnic0",,"1000",
"10.80.18.18","Cluster_ESS","vmnic1","3c:a8:2a:ed:c8:4d","1000","True","vmnic1",,"1000",
"10.80.18.18","Cluster_ESS","vmnic10","48:df:37:04:a3:bc","10000","True","vmnic10",,"10000",
"10.80.18.18","Cluster_ESS","vmnic11","48:df:37:04:a3:bd","0","False","vmnic11",,,
"10.80.18.18","Cluster_ESS","vmnic2","3c:a8:2a:ed:c8:4e","0","False","vmnic2",,,
"10.80.18.18","Cluster_ESS","vmnic3","3c:a8:2a:ed:c8:4f","0","False","vmnic3",,,
"10.80.18.18","Cluster_ESS","vmnic4","48:df:37:04:a3:a8","10000","True","vmnic4",,"10000",
"10.80.18.18","Cluster_ESS","vmnic5","48:df:37:04:a3:a9","10000","True","vmnic5",,"10000",
"10.80.18.18","Cluster_ESS","vmnic6","48:df:37:04:ad:80","10000","True","vmnic6",,"10000",
"10.80.18.18","Cluster_ESS","vmnic7","48:df:37:04:ad:81","10000","True","vmnic7",,"10000",
"10.80.18.18","Cluster_ESS","vmnic8","48:df:37:04:ad:bc","10000","True","vmnic8",,"10000",
"10.80.18.18","Cluster_ESS","vmnic9","48:df:37:04:ad:bd","0","False","vmnic9",,,
"10.80.18.19","Cluster_ESS","vmnic0","3c:a8:2a:ed:cd:0c","1000","True","vmnic0",,"1000",
"10.80.18.19","Cluster_ESS","vmnic1","3c:a8:2a:ed:cd:0d","1000","True","vmnic1",,"1000",
"10.80.18.19","Cluster_ESS","vmnic10","48:df:37:04:a8:68","10000","True","vmnic10",,"10000",
"10.80.18.19","Cluster_ESS","vmnic11","48:df:37:04:a8:69","0","False","vmnic11",,,
"10.80.18.19","Cluster_ESS","vmnic2","3c:a8:2a:ed:cd:0e","0","False","vmnic2",,,
"10.80.18.19","Cluster_ESS","vmnic3","3c:a8:2a:ed:cd:0f","0","False","vmnic3",,,
"10.80.18.19","Cluster_ESS","vmnic4","48:df:37:04:a4:38","10000","True","vmnic4",,"10000",
"10.80.18.19","Cluster_ESS","vmnic5","48:df:37:04:a4:39","10000","True","vmnic5",,"10000",
"10.80.18.19","Cluster_ESS","vmnic6","48:df:37:04:ae:6c","10000","True","vmnic6",,"10000",
"10.80.18.19","Cluster_ESS","vmnic7","48:df:37:04:ae:6d","10000","True","vmnic7",,"10000",
"10.80.18.19","Cluster_ESS","vmnic8","48:df:37:04:a4:8c","100","True","vmnic8",,"100",
"10.80.18.19","Cluster_ESS","vmnic9","48:df:37:04:a4:8d","0","False","vmnic9",,,
"10.80.18.116","Cluster_PF_BSS","vmnic0","78:ac:44:90:87:60","0","False","vmnic0",,,
"10.80.18.116","Cluster_PF_BSS","vmnic1","78:ac:44:90:87:61","0","False","vmnic1",,,
"10.80.18.116","Cluster_PF_BSS","vmnic10","84:16:0c:6c:d4:00","10000","True","vmnic10",,"10000",
"10.80.18.116","Cluster_PF_BSS","vmnic11","84:16:0c:6c:d4:01","10000","True","vmnic11",,"10000",
"10.80.18.116","Cluster_PF_BSS","vmnic2","78:ac:44:90:87:62","1000","True","vmnic2",,"1000",
"10.80.18.116","Cluster_PF_BSS","vmnic3","78:ac:44:90:87:63","1000","True","vmnic3",,"1000",
"10.80.18.116","Cluster_PF_BSS","vmnic4","84:16:0c:6d:51:e0","10000","True","vmnic4",,"10000",
"10.80.18.116","Cluster_PF_BSS","vmnic5","84:16:0c:6d:51:e1","10000","True","vmnic5",,"10000",
"10.80.18.116","Cluster_PF_BSS","vmnic6","84:16:0c:6d:46:80","10000","True","vmnic6",,"10000",
"10.80.18.116","Cluster_PF_BSS","vmnic7","84:16:0c:6d:46:81","10000","True","vmnic7",,"10000",
"10.80.18.116","Cluster_PF_BSS","vmnic8","84:16:0c:6c:90:60","10000","True","vmnic8",,"10000",
"10.80.18.116","Cluster_PF_BSS","vmnic9","84:16:0c:6c:90:61","10000","True","vmnic9",,"10000",
"10.80.18.115","Cluster_PF_BSS","vmnic0","78:ac:44:91:99:e8","0","False","vmnic0",,,
"10.80.18.115","Cluster_PF_BSS","vmnic1","78:ac:44:91:99:e9","0","False","vmnic1",,,
"10.80.18.115","Cluster_PF_BSS","vmnic10","84:16:0c:6d:2a:30","10000","True","vmnic10",,"10000",
"10.80.18.115","Cluster_PF_BSS","vmnic11","84:16:0c:6d:2a:31","10000","True","vmnic11",,"10000",
"10.80.18.115","Cluster_PF_BSS","vmnic2","78:ac:44:91:99:ea","1000","True","vmnic2",,"1000",
"10.80.18.115","Cluster_PF_BSS","vmnic3","78:ac:44:91:99:eb","1000","True","vmnic3",,"1000",
"10.80.18.115","Cluster_PF_BSS","vmnic4","84:16:0c:6d:3b:90","10000","True","vmnic4",,"10000",
"10.80.18.115","Cluster_PF_BSS","vmnic5","84:16:0c:6d:3b:91","0","False","vmnic5",,,
"10.80.18.115","Cluster_PF_BSS","vmnic6","84:16:0c:6c:f7:80","10000","True","vmnic6",,"10000",
"10.80.18.115","Cluster_PF_BSS","vmnic7","84:16:0c:6c:f7:81","10000","True","vmnic7",,"10000",
"10.80.18.115","Cluster_PF_BSS","vmnic8","84:16:0c:6d:2b:80","10000","True","vmnic8",,"10000",
"10.80.18.115","Cluster_PF_BSS","vmnic9","84:16:0c:6d:2b:81","10000","True","vmnic9",,"10000",
"10.80.18.24","Cluster_SAGE","vmnic0","3c:a8:2a:ed:db:50","1000","True","vmnic0",,"1000",
"10.80.18.24","Cluster_SAGE","vmnic1","3c:a8:2a:ed:db:51","1000","True","vmnic1",,"1000",
"10.80.18.24","Cluster_SAGE","vmnic2","3c:a8:2a:ed:db:52","0","False","vmnic2",,,
"10.80.18.24","Cluster_SAGE","vmnic3","3c:a8:2a:ed:db:53","0","False","vmnic3",,,
"10.80.18.24","Cluster_SAGE","vmnic4","48:df:37:04:a4:44","10000","True","vmnic4",,"10000",
"10.80.18.24","Cluster_SAGE","vmnic5","48:df:37:04:a4:45","10000","True","vmnic5",,"10000",
"10.80.18.24","Cluster_SAGE","vmnic6","48:df:37:04:a3:c4","10000","True","vmnic6",,"10000",
"10.80.18.24","Cluster_SAGE","vmnic7","48:df:37:04:a3:c5","10000","True","vmnic7",,"10000",
"10.80.18.24","Cluster_SAGE","vmnic8","48:df:37:04:a3:84","10000","True","vmnic8",,"10000",
"10.80.18.24","Cluster_SAGE","vmnic9","48:df:37:04:a3:85","0","False","vmnic9",,,
"10.80.18.23","Cluster_SAGE","vmnic0","3c:a8:2a:ed:d7:18","1000","True","vmnic0",,"1000",
"10.80.18.23","Cluster_SAGE","vmnic1","3c:a8:2a:ed:d7:19","1000","True","vmnic1",,"1000",
"10.80.18.23","Cluster_SAGE","vmnic10","48:df:37:04:a6:34","10000","True","vmnic10",,"10000",
"10.80.18.23","Cluster_SAGE","vmnic11","48:df:37:04:a6:35","0","False","vmnic11",,,
"10.80.18.23","Cluster_SAGE","vmnic2","3c:a8:2a:ed:d7:1a","0","False","vmnic2",,,
"10.80.18.23","Cluster_SAGE","vmnic3","3c:a8:2a:ed:d7:1b","0","False","vmnic3",,,
"10.80.18.23","Cluster_SAGE","vmnic4","48:df:37:04:a3:9c","10000","True","vmnic4",,"10000",
"10.80.18.23","Cluster_SAGE","vmnic5","48:df:37:04:a3:9d","10000","True","vmnic5",,"10000",
"10.80.18.23","Cluster_SAGE","vmnic6","48:df:37:04:a9:b4","10000","True","vmnic6",,"10000",
"10.80.18.23","Cluster_SAGE","vmnic7","48:df:37:04:a9:b5","10000","True","vmnic7",,"10000",
"10.80.18.23","Cluster_SAGE","vmnic8","48:df:37:04:ad:c8","10000","True","vmnic8",,"10000",
"10.80.18.23","Cluster_SAGE","vmnic9","48:df:37:04:ad:c9","0","False","vmnic9",,,
